Date,portfolio_value
2023-11-27,99900.09990009991
2023-11-28,100979.29707426943
2023-11-29,99963.42592151336
2023-11-30,99979.25740685259
2023-12-01,98818.27227968017
2023-12-04,97401.34448151648
2023-12-05,98293.1940376959
2023-12-06,97311.62446764123
2023-12-07,97878.93632651375
2023-12-08,98744.39191691688
2023-12-11,97971.28678663925
2023-12-12,98783.96253120598
2023-12-13,98781.33208495576
2023-12-14,96554.35898847556
2023-12-15,97820.88747577522
2023-12-18,98327.48748131008
2023-12-19,98488.44110683839
2023-12-20,97791.85492466149
2023-12-21,98562.3296086889
2023-12-22,98836.7342112696
2023-12-26,98857.84289396927
2023-12-27,98702.18271729031
2023-12-28,99021.43510483505
2023-12-29,99221.98378859968
2024-01-02,97857.81136563965
2024-01-03,97786.58589307382
2024-01-04,97084.706235362
2024-01-05,97034.57314063584
2024-01-08,98865.76678906886
2024-01-09,99156.01104276154
2024-01-10,100997.75086677165
2024-01-11,101488.53566514174
2024-01-12,102501.76009347312
2024-01-16,102976.70521404571
2024-01-17,102765.62663287845
2024-01-18,103926.60364764919
2024-01-19,105193.1239958616
2024-01-22,104623.20613468606
2024-01-23,105253.8114319376
2024-01-24,106219.54948996751
2024-01-25,106829.07871423937
2024-01-26,106581.03552108601
2024-01-29,108108.79198913908
2024-01-30,107810.63197943402
2024-01-31,104905.52646659361
2024-02-01,106541.45676770968
2024-02-02,108504.57146387176
2024-02-05,107034.8801247317
2024-02-06,106992.64648115792
2024-02-07,109251.29076746036
2024-02-08,109267.13041857233
2024-02-09,110966.39485350356
2024-02-12,109570.56757226678
2024-02-13,107211.65712319754
2024-02-14,108247.90401383417
2024-02-15,107473.36557695275
2024-02-16,106812.50611830827
2024-02-20,106476.77071816307
2024-02-21,106315.51578629408
2024-02-22,108818.89687497666
2024-02-23,108472.5989943944
2024-02-26,107732.43544537053
2024-02-27,107716.57135031134
2024-02-28,107780.01137231705
2024-02-29,109344.96048022628
2024-03-01,109836.63294612942
2024-03-04,109683.31818753449
2024-03-05,106439.77354982805
2024-03-06,106291.72779613528
2024-03-07,108155.39069190751
2024-03-08,107383.49084036355
2024-03-11,106934.10087924311
2024-03-12,109778.48637297307
2024-03-13,109730.9022802538
2024-03-14,112406.10894701516
2024-03-15,110079.83874617354
2024-03-18,110317.75107068273
2024-03-19,111398.93532961396
2024-03-20,112408.7475056671
2024-03-21,113503.14099614561
2024-03-22,113336.61700600342
2024-03-25,111782.23037853124
2024-03-26,111462.3834907069
2024-03-27,111404.22877846334
2024-03-28,111216.53099292364
2024-04-01,112234.27522984915
2024-04-02,111406.85922471357
2024-04-03,111145.1670491328
2024-04-04,110465.78865860273
2024-04-05,112485.3967592201
2024-04-08,112239.56867869852
2024-04-09,112686.3119153943
2024-04-10,111887.97734926686
2024-04-11,113122.47636679301
2024-04-12,111528.47026382285
2024-04-15,109344.96048022628
2024-04-16,109593.43531185808
2024-04-17,108869.11955303342
2024-04-18,106868.00596703995
2024-04-19,105506.61873972959
2024-04-22,105993.01403495781
2024-04-23,107740.36747955735
2024-04-24,108134.24128708616
2024-04-25,105485.47750068102
2024-04-26,107409.91738917428
2024-04-29,106334.03471817967
2024-04-30,102918.64008513272
2024-05-01,104401.63835155235
2024-05-02,105168.24475424692
2024-05-03,107499.79212576349
2024-05-06,109318.52579232832
2024-05-07,108208.24381621447
2024-05-08,108525.47653596304
2024-05-09,108996.01590190484
2024-05-10,109635.72595572799
2024-05-13,109366.10174596039
2024-05-14,110116.85221936853
2024-05-15,112042.1227750987
2024-05-16,111488.63903862922
2024-05-17,111282.07210028333
2024-05-20,112640.63346319336
2024-05-21,113620.48467179251
2024-05-22,114012.42028245406
2024-05-23,113080.23458413199
2024-05-24,113917.08923521431
2024-05-28,113959.45315755482
2024-05-29,113654.90844754448
2024-05-30,109814.95420709735
2024-05-31,109936.77699590224
2024-06-03,109510.40133131428
2024-06-04,110185.70785658865
2024-06-05,112288.4069113604
2024-06-06,112423.47146137597
2024-06-07,112246.04298901992
2024-06-10,113310.63837384559
2024-06-11,114584.44739475634
2024-06-12,116803.66765039638
2024-06-13,116941.38706392386
2024-06-14,117203.56785159367
2024-06-17,118739.54954777253
2024-06-18,118201.95432362393
2024-06-20,118032.47416362916
2024-06-21,119112.95806077572
2024-06-24,118554.17273636964
2024-06-25,119422.79624632094
2024-06-26,119743.22946865216
2024-06-27,119925.95955563034
2024-06-28,118363.49431034464
2024-07-01,120953.47632787768
2024-07-02,121628.78282646651
2024-07-03,122023.37332732549
2024-07-05,123821.53578448865
2024-07-08,123471.96412285314
2024-07-09,121697.6466294594
2024-07-10,123474.61898636505
2024-07-11,120415.89740858907
2024-07-12,120111.34453280598
2024-07-15,120219.91736794192
2024-07-16,119044.1024235556
2024-07-17,117455.14546339029
2024-07-18,116620.94570250543
2024-07-19,115757.61564140348
2024-07-22,117301.55378903086
2024-07-23,117807.36384945047
2024-07-24,113583.40605921416
2024-07-25,110802.74561565611
2024-07-26,112622.09006067502
2024-07-29,113008.74036157443
2024-07-30,111999.76699184542
2024-07-31,110789.51199353268
2024-08-01,110461.11412729466
2024-08-02,108178.3317099694
2024-08-05,104645.56893064281
2024-08-06,105826.68548965125
2024-08-07,105514.20060636687
2024-08-08,106642.34187470331
2024-08-09,107524.21531163804
2024-08-12,107733.41269623415
2024-08-13,109640.17245916599
2024-08-14,110394.91335358645
2024-08-15,111700.19811948383
2024-08-16,111021.03145196385
2024-08-19,111832.852112032
2024-08-20,112700.38434384187
2024-08-21,112525.3012628843
2024-08-22,110246.34643145574
2024-08-23,110575.32246642784
2024-08-26,109699.81747830946
2024-08-27,109792.67282869846
2024-08-28,108933.10521410985
2024-08-29,109601.6523742111
2024-08-30,110668.17784350236
2024-09-03,108625.35183574414
2024-09-04,108482.08650155002
2024-09-05,108346.7776188044
2024-09-06,106571.90634725272
2024-09-09,107638.43178985844
2024-09-10,109888.19934745933
2024-09-11,112233.46084078669
2024-09-12,113284.0570756354
2024-09-13,114236.48820638575
2024-09-16,114435.46513900715
2024-09-17,115446.2708707839
2024-09-18,114294.85466832493
2024-09-19,116385.43576969086
2024-09-20,115478.1048957218
2024-09-23,115011.1813659811
2024-09-24,113859.76516352213
2024-09-25,114639.74365956514
2024-09-26,114427.50866087309
2024-09-27,113554.66667535386
2024-09-30,114159.55392466656
2024-10-01,111610.00577169398
2024-10-02,110665.53111907768
2024-10-03,110508.99955304014
2024-10-04,110381.64714842859
2024-10-07,108651.87610697266
2024-10-08,110023.49192534496
2024-10-09,110753.0767157573
2024-10-10,110323.2806864894
2024-10-11,110450.62495201374
2024-10-14,111198.78570129332
2024-10-15,111092.65597997369
2024-10-16,110397.56010469669
2024-10-17,110556.74653424614
2024-10-18,110938.78744322082
2024-10-21,111103.27546070688
2024-10-22,113419.35779260825
2024-10-23,112647.33577469927
2024-10-24,112681.82468983461
2024-10-25,113589.15556380365
2024-10-28,113175.28876897831
2024-10-29,114597.30643206851
2024-10-30,114751.1831079086
2024-10-31,107805.56655845472
2024-11-01,108872.08388865876
2024-11-04,108365.35357767165
2024-11-05,109161.2612814717
2024-11-06,111474.69688894837
2024-11-07,112867.52725152536
2024-11-08,112100.81498732576
2024-11-11,110898.99694014888
2024-11-12,112230.80597727478
2024-11-13,112806.5140651615
2024-11-14,113254.87791420941
2024-11-15,110100.43434615139
2024-11-18,110302.06614228469
2024-11-19,110840.62233912248
2024-11-20,110230.42533610041
2024-11-21,109754.58438222202
2024-11-22,110852.47154253657
2024-11-25,111328.3206355022
2024-11-26,113773.98676282135
2024-11-27,112444.81631103292
2024-11-29,112569.76629726432
2024-12-02,114568.8276324272
2024-12-03,114627.31626073142
2024-12-04,116280.79638195665
2024-12-05,117663.12940347994
2024-12-06,117915.6679612802
2024-12-09,118566.9584685257
2024-12-10,117851.86146686492
2024-12-11,119356.48961110771
2024-12-12,119508.0045906893
2024-12-13,118899.24903335824
2024-12-16,120047.64389989576
2024-12-17,120810.59374426756
2024-12-18,116272.82362564813
2024-12-19,116177.11794022608
2024-12-20,116062.82001776232
2024-12-23,115703.93998894683
2024-12-24,116788.53650015629
2024-12-26,116464.21869163227
2024-12-27,114449.20367807962
2024-12-30,112933.94791401642
2024-12-31,112048.72739087234
2025-01-02,111272.49503648267
2025-01-03,112540.52199645498
2025-01-06,113736.76967901798
2025-01-07,112280.00254325899
2025-01-08,112862.17680237986
2025-01-10,111370.85558541663
2025-01-13,110902.98738784673
2025-01-14,110498.92568469212
2025-01-15,113327.38197066507
2025-01-16,112867.4865294037
2025-01-17,114050.45172863436
2025-01-21,113909.56436887318
2025-01-22,118614.81131123674
2025-01-23,118750.38077820133
2025-01-24,118045.92767453541
2025-01-27,115520.50954018398
2025-01-28,118880.64865722932
2025-01-29,117586.03225995958
2025-01-30,110318.15009944119
2025-01-31,110336.7586413429
2025-02-03,109236.2166175164
2025-02-04,109621.66977876934
2025-02-05,109866.23558026108
2025-02-06,110538.79763200742
2025-02-07,108925.18945809748
2025-02-10,109581.78969236682
2025-02-11,109374.44097467845
2025-02-12,108736.44111653803
2025-02-13,109135.1930659833
2025-02-14,108574.28221227601
2025-02-18,108895.94515728814
2025-02-19,110259.66149782251
2025-02-20,110843.0166184154
2025-02-21,108733.38719758211
2025-02-24,107611.98896287326
2025-02-25,105987.15050309051
2025-02-26,106474.60449342572
2025-02-27,104556.76919402057
2025-02-28,105744.75909210887
2025-03-03,103480.64221698142
2025-03-04,103512.60654737156
2025-03-05,106818.2149007761
2025-03-06,105718.12893268977
2025-03-07,104764.53324532739
2025-03-10,101261.82101678537
2025-03-11,101339.06474393245
2025-03-12,102090.21427278458
2025-03-13,100891.56414515588
2025-03-14,103499.29145431925
2025-03-17,103536.58995568047
2025-03-18,102156.80593616403
2025-03-19,103302.18760586731
2025-03-20,103041.13879177505
2025-03-21,104218.48479186847
2025-03-24,104703.26761383178
2025-03-25,105257.31326754643
2025-03-26,103874.87435783255
2025-03-27,104037.35087329522
2025-03-28,100899.55320632439
2025-03-31,99991.25319389341
2025-04-01,101802.54343836046
2025-04-02,101789.22837199368
2025-04-03,99383.9309431661
2025-04-04,95849.25438423392
2025-04-07,95321.8470290256
2025-04-08,94442.8402052984
2025-04-09,104013.37560407356
2025-04-10,101578.79315231496
2025-04-11,103469.99829230101
2025-04-14,103299.51643749539
2025-04-15,102745.47892286797
2025-04-16,98984.38090951838
2025-04-17,97964.20169786378
2025-04-21,95657.46842857855
2025-04-22,97708.49519382982
2025-04-23,99724.8865136901
2025-04-24,103163.67008145183
2025-04-25,104375.64341453454
2025-04-28,104191.84649336213
2025-04-29,104958.98223026744
2025-04-30,105283.95156605274
2025-05-01,113312.2264031633
2025-05-02,115943.92898154832
2025-05-05,116180.99436064615
2025-05-06,115419.18465562467
2025-05-07,115429.84485847954
2025-05-08,116713.72774773829
2025-05-09,116862.8973359214
2025-05-12,119667.72852022226
2025-05-13,119635.77232891934
2025-05-14,120647.95436700372
2025-05-15,120920.15199603989
2025-05-16,121224.3628166751
2025-05-19,122451.8989117908
2025-05-20,122265.10507195863
2025-05-21,120770.71365786502
2025-05-22,121381.80649419292
2025-05-23,120132.92554942024
2025-05-27,122937.5775403744
2025-05-28,122048.94479163762
2025-05-29,122401.19576073225
2025-05-30,122849.51074857128
2025-06-02,123279.15202843971
2025-06-03,123546.00734741759
2025-06-04,123786.17550668023
2025-06-05,124802.89363153321
2025-06-06,125523.4062484084
2025-06-09,126155.85204679491
2025-06-10,125667.51038892666
2025-06-11,126121.15954773672
2025-06-12,127789.0052913485
2025-06-13,126745.60003346583
2025-06-16,127861.06143115125
2025-06-17,127567.51895245814
2025-06-18,128154.59577075715
2025-06-20,127396.72765222464
2025-06-23,129691.68502325189
2025-06-24,130788.45648816334
2025-06-25,131364.86493783473
2025-06-26,132747.18168118357
2025-06-27,132344.22753434483
2025-06-30,132736.5052001542
2025-07-01,131306.15644743317
2025-07-02,131049.97760948463
2025-07-03,133118.10633156326
2025-07-07,132819.22968189907
2025-07-08,132525.68720320595
2025-07-09,134364.32427373674
2025-07-10,133822.60829643806
2025-07-11,134313.62109599268
2025-07-14,134233.55961684696
2025-07-15,134980.75939343736
2025-07-16,134927.38507400692
2025-07-17,136549.86997661839
2025-07-18,136109.5521890351
2025-07-21,136112.22335740703
2025-07-22,134833.9840845472
2025-07-23,134994.0989037514
2025-07-24,136331.04666701274
2025-07-25,137086.25178294606
2025-07-28,136763.35097616585
2025-07-29,136782.03279653814
2025-07-30,136960.82129702735
2025-07-31,142367.3126747014
2025-08-01,139861.5373334114
2025-08-04,142938.38695340173
2025-08-05,140832.89459057857
2025-08-06,140083.0317847035
2025-08-07,138988.93151484948
2025-08-08,139309.14484839782
2025-08-11,139237.10498676955
2025-08-12,141230.50640067348
2025-08-13,138919.54651673307
2025-08-14,139426.56185588642
2025-08-15,138810.12670950027
2025-08-18,137990.87893219432
